Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
INRN,INTERROLL N,Producer manufacturing,2.096,2515.0,277,82.71,1.26,0.547467,-19.36,0.169132,0.085013,0.107416,1.967
IREN,INVESTIS N,Finance,1.394,109.5,1657,12.7,2.2800000000000002,0.233288,3.2300000000000004,0.202897,0.047311,0.051774,1.691
KARN,KARDEX N,Electronic technology,2.101,272.5,4384,9.03,1.83,0.708293,33.410000000000004,0.242115,0.092221,0.101338,1.97
KNIN,KUEHNE+NAGEL INT N,Transportation,27.365,226.1,304661,9.55,4.3999999999999995,22.682,-27.97,2.791,1.506,2.305,28.96
LAND,LANDIS+GYR N,Producer manufacturing,2.249,76.8,49638,3.35,2.88,1.739,29.29,0.496396,0.138743,0.203128,2.448
LEHN,LEM N,Electronic technology,1.529,1334.0,463,57.26,3.73,0.405777,8.67,0.189163,0.080903,,1.601
LISN,LINDT N,Consumer non-durables,24.51,106400.0,59,2932.5,1.32,5.274,10.38,2.175,0.8504,1.134,25.788
LLBN,LIECHT LANDBK N,Finance,2.176,71.6,3206,5.4,3.7900000000000005,1.041,46.87,,0.196109,,0.003788
LOGN,LOGITECH N,Electronic technology,11.183,73.56,586098,3.91,1.59,3.916,-4.46,1.608,0.60348,0.675647,9.874
LONN,LONZA N,Health technology,38.556,531.4,124056,8.14,0.75,6.696,14.48,1.956,1.433,2.064,40.397
LUKN,LUZERNER KB N,Finance,3.122,63.3,12378,5.72,3.9699999999999998,1.274,31.28,,0.287819,,20.361
MOBN,MOBIMO N,Finance,1.985,272.0,4176,10.75,3.66,0.247492,28.59,0.166896,0.127167,0.129471,3.624
MOVE,MEDACTA GROUP N,Health technology,2.448,123.4,5312,2.7,0.44999999999999996,0.52237,25.509999999999998,0.354838,0.073921,0.133708,2.654
NEAG,NATURENERGIE N,Utilities,1.26,38.4,4715,3.36,2.36,1.818,27.83,0.123462,0.123462,0.180746,1.275
NESN,NESTLE N,Consumer non-durables,218.316,85.06,4684000,4.27,3.53,91.75,0.9199999999999999,42.804,15.968,19.469,278.475
NOVN,NOVARTIS N,Health technology,191.753,97.23,2540000,6.97,3.4099999999999997,42.204,-13.14,30.934,12.193,18.55,210.373
OERL,OC OERLIKON N,Process industries,1.481,4.516,177670,-0.02,4.390000000000001,2.422,-16.05,0.609,0.124,0.332,2.701
PGHN,PARTNERS GROUP N,Finance,33.834,1281.5,66189,36.7,3.0300000000000002,2.084,-21.66,1.828,1.218,1.26,35.51
PSPN,PSP N,Finance,5.738,124.3,68199,6.26,3.08,0.372059,1.83,0.338944,0.308899,0.309976,9.149
REHN,ROMANDE ENERGIE N,Utilities,1.402,49.8,606,5.4,2.91,0.864832,30.73,0.139352,0.063045,0.150995,1.612
RO,ROCHE I,Health technology,214.07,283.2,19399,13.23,3.39,58.785,-8.69,42.873,16.464,19.842,243.631
SCHN,SCHINDLER N,Producer manufacturing,26.185,242.0,13700,8.37,1.66,11.365,2.33,3.566,1.211,1.558,24.687
SCMN,SWISSCOM N,Communications,28.775,551.5,64302,32.8,3.9600000000000004,11.076,0.06999999999999999,3.697,2.481,4.901,37.081
SDZS,ANDOZ GROUP N,Health technology,15.219,34.17,751064,,1.27,,,,,,18.584
SFSN,SFS GROUP N,Producer manufacturing,5.122,132.4,16315,6.47,1.9,3.043,40.8,0.7666,0.3495,0.4787,5.596
SFZN,SIEGFRIED N,Health technology,4.911,1170.0,7508,29.81,0.31,1.284,5.08,0.332245,0.178881,0.26454199999999994,5.316
SGKN,ST GALLER KB N,Finance,2.457,407.0,3117,33.28,4.63,1.029,79.59,,0.234185,,6.629
SGSN,SGS N,Commercial services,17.533,94.8,314447,2.95,3.4000000000000004,6.673,1.63,2.381,0.888,1.426,20.646
SIGN,SIG GROUP N,Producer manufacturing,7.156,18.94,889405,0.69,2.56,3.131,33.300000000000004,0.711451,0.334891,0.736104,9.545
SIKA,SIKA N,Process industries,44.575,278.0,235625,7.65,1.1900000000000002,11.728,16.650000000000002,3.734,1.716,2.255,50.354
SKAN,SKAN N,Health technology,1.781,79.1,11774,1.43,0.44,0.344011,35.0,0.242286,0.040539,0.053056,1.744
