Country Name,child_mortality,exports,health,imports,income,inflation,life_expectancy,fertility_rate,gdp_pc,corruption,acc_clean_cooking
Albania,8.3,31.3042698874727,6.86214113,44.9749247621036,4361.99929292963,1.25702482876329,79.282,1.414,5396.2142432843,0.563899636268616,82.0
Algeria,20.1,20.407941949491,5.86751413,26.0989006586763,3140.90717898635,0.882992828155892,76.474,2.988,4530.10174483631,0.655895113945007,99.7
Angola,49.9,40.7907550532833,2.47517991,17.0387830650203,1328.70814309117,19.1870038271785,62.448,5.442,2191.34776433537,1.05841791629791,49.0
Argentina,9.2,17.9248783778462,10.04194355,14.7057366680037,8244.06867842616,49.1955790596612,77.284,1.994,9963.67416171662,0.106940247118473,99.9
Armenia,10.6,41.3508013620849,11.38,54.7633527667858,4222.08827819678,1.06562263923419,75.439,1.575,4828.50488626598,0.226975172758102,97.9
Australia,3.2,24.1117883614814,10.21965981,21.6371749941796,42130.8946366101,3.46372273602202,82.9,1.657,55049.571919719,-1.78817307949066,100.0
Austria,2.9,55.7607848112938,10.49,52.1317298002285,40712.5753412494,1.60787622974401,81.8951219512195,1.46,50067.5857265892,-1.521409034729,100.0
Azerbaijan,18.4,49.0506275016423,4.18,36.7675179068137,3656.14168229445,-0.241307927446329,73.102,1.81,4805.75371765917,0.849424362182617,98.1
"Bahamas, The",15.4,35.5641431446966,5.82275152,36.9831440819901,28943.0505113697,4.59340787218045,71.205,1.398,32173.9581814182,-1.10244631767273,100.0
Bahrain,6.0,76.485960757711,3.95980334,65.2148742068027,18774.7074636746,0.0832617803389297,80.019,1.857,25869.1129129041,0.0380972623825073,100.0
Bangladesh,26.7,13.0947573353039,2.25762248,18.4832971559365,2178.80295519644,3.65813755162172,72.806,2.031,2122.03765230231,1.01699352264404,23.5
Barbados,11.1,41.7775316710853,6.20015001,38.6855818954203,15936.7279201949,4.26027852762194,77.257,1.623,19156.0398672282,-1.15944015979767,100.0
Belarus,2.4,65.0944096428465,5.86,65.7557224712763,5563.11300876083,8.57690850921516,74.2268292682927,1.382,6837.76832136779,-0.00728573789820075,99.7
Belgium,3.3,82.3971820616943,10.79477787,81.7690330122952,38340.1219991244,1.76809741631743,81.9951219512195,1.6,46641.7214017087,-1.44899594783783,100.0
Belize,11.1,51.8967694718585,4.81374073,50.3045340046588,4787.39752957686,-0.130661894485968,73.931,2.106,6134.21523305713,0.191070929169655,83.0
Benin,57.9,29.6305271935478,2.50914454,34.0508051206822,1038.18537909855,-0.39755379308734,60.454,5.13,1170.88599492622,0.330108225345612,5.4
Bhutan,22.1,31.4575059018919,3.60361075,44.6660115175957,2903.8185992206,3.10800221433527,71.391,1.46,3564.59877149986,-1.57226634025574,84.7
Bolivia,21.8,24.9672622840166,6.88792992,31.4300444441081,2914.49250990511,-0.693003271755344,67.841,2.688,3472.38083136442,0.780918836593628,86.6
Bosnia and Herzegovina,5.5,40.0400711149533,8.93,54.4760567724708,5081.76521573539,2.47150468459363,77.241,1.368,6094.72482322311,0.646842896938324,42.05
Botswana,33.5,37.0878176552067,6.12193203,46.0051637049108,4923.83154291204,0.507585435653098,65.464,2.883,6691.16084579207,-0.68628865480423,64.4
Brazil,13.2,14.1229191903622,9.61449146,14.7673386775793,6679.16788400378,4.22425886899158,75.338,1.703,8845.32414932264,0.407679289579391,96.4
Brunei Darussalam,8.6,57.946040538108,2.19410944,50.5636178198506,24219.1032588216,-3.3341833764367,74.748,1.819,30748.3092371228,-0.768578290939331,100.0
Burkina Faso,53.8,29.2576956603939,5.31868935,31.1509972213594,653.221212463206,0.512900505072309,60.039,4.971,765.229560401644,0.220120951533318,13.1
Burundi,39.8,5.17203999926172,9.05010796,23.8541700005272,157.475485123146,0.851867434051655,62.351,5.271,216.972970900616,1.49680662155151,0.1
Cabo Verde,12.1,46.7050331370949,4.56319857,56.8976233266308,2970.50496929759,0.694871205774092,76.004,1.932,3903.05031683625,-0.851036787033081,80.2
Cambodia,22.7,61.0912965254955,6.84972715,62.4652272481451,1413.82639342385,3.2353717666989,70.692,2.402,1671.3854000919,1.32316565513611,35.7
Cameroon,51.4,19.8500907473186,3.65157914,23.528422500723,1255.11154436712,1.16977181911541,61.584,4.623,1538.5630625108,1.21871328353882,26.4
Canada,4.5,32.3526958202565,11.00887775,33.8187894602395,37785.7276089272,1.54607075438069,82.2239024390244,1.47,46352.8693445211,-1.72997653484344,100.0
Central African Republic,78.3,15.7553800018083,7.76124763,34.3104199996784,373.058814385527,2.32783705140642,55.025,6.008,426.408753120209,1.23396146297455,0.8
Chad,69.0,36.7422534363826,4.59277868,37.8282721194732,513.196577840344,2.85603411987745,53.259,6.412,701.621201027424,1.41705894470215,6.7
Chile,6.2,27.8746677570512,9.36262131,29.7370868110317,11556.4703392788,2.56778721379496,80.326,1.545,14616.2072513761,-0.979157269001007,100.0
China,6.0,18.4099923155274,5.3502779,17.4801037187339,7470.11381485915,1.28670040766232,77.968,1.496,10143.8602206165,0.312405079603195,82.0
Colombia,11.8,15.8680386541241,7.77954912,21.6904953267149,5361.51652719441,4.0026205429365,76.752,1.765,6436.50921493811,0.283157199621201,91.9
Comoros,41.7,12.7734606325226,5.18044472,29.4946179024958,1395.67252161893,4.20910596809098,64.068,4.125,1510.7973237214,1.05786526203156,7.8
"Congo, Dem. Rep.",65.4,25.8676651009614,3.508039,29.3674929390241,460.502775263647,5.89540537440325,60.276,6.253,575.882781366465,1.55517840385437,4.0
"Congo, Rep.",35.9,56.1988161669292,2.54176092,35.3769415537356,877.067941873235,-1.31737273450356,62.747,4.296,2508.94044443477,1.43592858314514,33.9
Costa Rica,7.2,34.3253215588929,7.22124958,31.4352084586788,11300.9351944679,2.56679211775625,79.427,1.632,12669.3411549351,-0.627239465713501,95.6
Cote d'Ivoire,56.7,22.6604887650452,3.21496511,21.9999218180343,2079.94948124254,1.98335249250374,59.319,4.538,2309.31358341573,0.564522325992584,34.7
Croatia,4.0,50.1631450658156,6.8,50.5640819654308,12740.0084956521,1.992454583873,78.4243902439025,1.47,15218.5258037621,-0.0527426823973656,100.0
Cuba,5.4,12.2133743797594,11.08496857,10.6074200696913,7811.86924542692,3.54474299448344,77.611,1.551,9139.38051005519,-0.0146971046924591,94.4
Cyprus,2.5,76.4877486300826,7.07,75.456743045744,24414.591796875,1.32263514010805,81.397,1.332,29419.9921875,-0.599219381809235,100.0
Czechia,2.4,73.8797803262645,7.60336018,67.8912433363527,17471.6552865621,3.88895344602105,79.2292682926829,1.71,23664.8478631108,-0.533790946006775,100.0
Denmark,3.3,58.6471822154845,10.15,51.5776463887491,50967.6115024073,1.04879424424314,81.4512195121951,1.7,59592.9806886454,-2.12161731719971,100.0
Djibouti,48.3,166.717746372109,2.16640544,154.221256626515,2456.59897983598,0.449797430981619,63.085,2.891,2876.04366371536,0.880212485790253,10.2
Dominican Republic,28.4,23.0692820412923,4.23948717,27.9418628796634,7278.31682222694,2.52561865647056,73.577,2.344,8173.34469885261,0.838781177997589,91.3
Ecuador,11.6,24.0486348220803,7.77070522,24.0342151181344,4621.76608049783,-0.0565751872692744,77.297,2.088,6203.72705079758,0.509074687957764,94.4
"Egypt, Arab Rep.",17.2,16.6440314510365,4.5994668,24.4799857040743,2476.5113689191,13.6180959117792,71.358,3.001,3017.25833578941,0.65516608953476,99.9
