,model_name,r2_score,MSE,MAE,RMS,dataset,n_train,iter
NN,NN,-0.9458400941808187,31357365.017142784,3920.215399571624,5599.764728731269,validation,10,9
NN,NN,-0.7997722617175556,43697168.76730179,4464.985537261963,6610.383405469141,train,100,0
NN,NN,-0.9119891259709396,30811854.021909773,3874.864656724547,5550.842640708685,validation,100,0
NN,NN,-0.8487058640104077,29145896.702910565,3700.5270055770875,5398.6939812245855,train,100,1
NN,NN,-0.8875383432378141,30417827.74944762,3836.9874875309292,5515.2359649835125,validation,100,1
NN,NN,-0.6669522686964431,31146670.44009084,3613.9150168609617,5580.920214453065,train,100,2
NN,NN,-0.8514780479350901,29836713.27564523,3782.135574146746,5462.299266393707,validation,100,2
NN,NN,-0.76676622014649,30390728.728172522,3796.09381439209,5512.778675783431,train,100,3
NN,NN,-0.7994900036963715,28998921.884360757,3709.0584941836514,5385.064705680031,validation,100,3
NN,NN,-0.6039631712898623,24293601.04927117,3196.0694444274905,4928.853928579257,train,100,4
NN,NN,-0.7517385722096415,28229403.838300113,3637.9698888871008,5313.135029180052,validation,100,4
NN,NN,-0.7832744456019298,23247364.840775892,3360.401125488281,4821.552119471062,train,100,5
NN,NN,-0.6952834622719848,27319625.334561706,3557.1323610551326,5226.81789758948,validation,100,5
NN,NN,-0.6282689894362734,20968173.985585,3058.835495147705,4579.101875432016,train,100,6
NN,NN,-0.6372855936476605,26384985.15415425,3471.0220754118586,5136.6316934499255,validation,100,6
NN,NN,-0.5706289353545173,18948603.29225162,2943.4785417175294,4352.9993443890635,train,100,7
NN,NN,-0.5603831017622916,25145695.494130783,3365.374484103642,5014.548383865767,validation,100,7
NN,NN,-0.4100908549955826,21623235.568156566,3033.7720858764646,4650.079092677518,train,100,8
NN,NN,-0.4719519841041515,23720621.129812274,3250.125042441748,4870.382031197581,validation,100,8
NN,NN,-0.25745201594531686,20009424.85243012,2922.6848928833006,4473.189561423718,train,100,9
NN,NN,-0.34974099081551846,21751181.432727307,3098.57470800555,4663.816187708014,validation,100,9
NN,NN,0.529232738254693,8487919.45375722,1850.0921857299804,2913.4034141802645,train,1000,0
NN,NN,0.5355099852832348,7485292.846955876,1772.4505819774436,2735.9263233785878,validation,1000,0
NN,NN,0.855307831518362,2296843.4171322235,990.8428475341797,1515.5340369428275,train,1000,1
NN,NN,0.8509638564450781,2401729.0876958882,1008.5252483646852,1549.7512986592037,validation,1000,1
NN,NN,0.8619043729409808,2309214.7533577546,991.3860836181641,1519.610066220198,train,1000,2
NN,NN,0.8570119113991704,2304264.209977324,986.2933311077397,1517.9803061888927,validation,1000,2
NN,NN,0.849016038860197,2092266.149216993,878.6454993286133,1446.4667812352252,train,1000,3
NN,NN,0.8608899557300356,2241769.22285106,960.931435374644,1497.253893917481,validation,1000,3
NN,NN,0.8503920304613751,2508406.072676956,970.8698491210937,1583.7948328861778,train,1000,4
NN,NN,0.8628195427818647,2210673.7768801865,950.6137864526343,1486.833473150301,validation,1000,4
NN,NN,0.8478951594649023,2361953.0961476727,971.0831134033203,1536.8646967601517,train,1000,5
NN,NN,0.8633175464789419,2202648.408425792,947.5852881575956,1484.1322071924023,validation,1000,5
NN,NN,0.8733916357323369,1878157.2617597126,874.0046928100586,1370.458777840367,train,1000,6
NN,NN,0.8632520286615943,2203704.2331669084,948.746748969631,1484.4878689861055,validation,1000,6
NN,NN,0.8526053368638008,2485576.127102749,972.1895187377929,1576.571002873879,train,1000,7
NN,NN,0.8655540984037943,2166606.1995633435,924.6464720862533,1471.9396045909436,validation,1000,7
NN,NN,0.8760114710294653,1677870.605601584,827.2676689453125,1295.326447503325,train,1000,8
NN,NN,0.8653544996464169,2169822.7491198923,913.7662081340314,1473.0318221681066,validation,1000,8
NN,NN,0.8790516203993017,1764500.9917955871,853.2078360595704,1328.345208067386,train,1000,9
NN,NN,0.8668070894784771,2146414.1505817496,909.5368922821893,1465.0645550902354,validation,1000,9
NN,NN,0.8647742139644974,2181743.1192279165,871.0858607727051,1477.0724827265303,train,10000,0
NN,NN,0.8698765235659696,2096949.9806505179,871.5402369584655,1448.08493557889,validation,10000,0
NN,NN,0.8443871538026864,2467642.7681181654,848.6808467102051,1570.8732501758905,train,10000,1
NN,NN,0.8708917116409562,2080590.1455728014,848.1928539775058,1442.4250918410985,validation,10000,1
NN,NN,0.8722438816216821,2038348.203843341,825.3403504150391,1427.7073242942129,train,10000,2
NN,NN,0.8718645648186298,2064912.540670101,844.5080697716694,1436.9803550049323,validation,10000,2
NN,NN,0.8471674953031357,2423817.569703841,845.328450201416,1556.8614484609222,train,10000,3
NN,NN,0.8718306515071444,2065459.056332086,834.1387438788842,1437.1705035701525,validation,10000,3
NN,NN,0.8660306847909229,2122778.931224561,828.2113129638672,1456.9759542369122,train,10000,4
NN,NN,0.8723221123888688,2057539.1258578582,831.1800692243016,1434.4124671299599,validation,10000,4
NN,NN,0.8726731519313201,1997814.1605478153,805.5634818359375,1413.4405401529332,train,10000,5
NN,NN,0.8722637611593673,2058479.460476386,827.8590184817722,1434.7402066145585,validation,10000,5
NN,NN,0.8539633782182364,2342149.1457212768,832.2296705566406,1530.4081631124675,train,10000,6
NN,NN,0.8727327400405486,2050921.8291959367,827.2414116620772,1432.1039868654568,validation,10000,6
NN,NN,0.8638389648008982,2136826.0341052786,819.9209514831543,1461.788642076986,train,10000,7
NN,NN,0.8729291441412026,2047756.7617818727,825.8538548761244,1430.9985191403493,validation,10000,7
NN,NN,0.8612031934163504,2270925.7546205865,835.3916732849121,1506.959108476599,train,10000,8
NN,NN,0.8731387353339647,2044379.1833490531,827.9406400670721,1429.8178846793928,validation,10000,8
NN,NN,0.8577346803421032,2231676.656398925,831.2198342895508,1493.8797329098902,train,10000,9
NN,NN,0.8730129565406347,2046406.1184223206,824.561952695051,1430.5265179025241,validation,10000,9
