Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
GALE,GALENICA N,Distribution services,3.589,72.5,121103,3.55,3.0300000000000002,3.746,-2.31,0.377584,0.192296,0.295296,4.423
GEBN,GEBERIT N,Producer manufacturing,18.471,548.6,146205,17.98,2.31,3.084,-10.88,1.295,0.903,1.055,19.811
GF,GEORG FISCHER N,Producer manufacturing,5.232,63.8,258981,2.55,2.04,4.472,15.909999999999998,1.175,0.373,0.522,7.338
GIVN,GIVAUDAN N,Consumer non-durables,41.581,4506.0,26865,111.45,1.51,6.915,3.46,2.719,1.116,1.472,46.243
GRKP,GRAUB KB PS,Finance,1.271,1695.0,102,93.57,2.8000000000000003,0.755266,64.95,,0.232404,,5.144
HELN,HELVETIA HOLDING N,Finance,7.174,135.3,103313,5.28,4.66,10.496,-16.6,,0.5077,,10.546
HOLN,HOLCIM N,Non-energy minerals,46.732,83.18,2234000,5.32,3.37,27.009,0.65,11.498,4.457,6.434,58.422
HUBN,HUBER+SUHNER N,Electronic technology,1.588,86.0,44260,3.29,1.9800000000000002,0.851062,-1.38,0.300569,0.073929,0.106869,1.439
IFCN,INFICON N,Electronic technology,2.79,1142.0,3654,40.26,1.7500000000000002,0.605264,28.34,0.278108,0.121389,0.136567,2.778
INRN,INTERROLL N,Producer manufacturing,2.162,2620.0,6069,82.71,1.22,0.556338,-13.08,0.164881,0.083853,0.106296,2.033
IREN,INVESTIS N,Finance,1.413,111.0,1985,12.7,2.25,0.23153,7.19,0.201954,0.045979,0.050062,1.71
KARN,KARDEX N,Electronic technology,2.117,274.5,33055,9.03,1.82,0.68246,38.74,0.229002,0.088556,0.097396,1.985
KNIN,KUEHNE+NAGEL INT N,Transportation,27.894,231.8,595339,9.55,4.31,22.609,-37.18,2.888,1.625,2.409,29.489
LAND,LANDIS+GYR N,Producer manufacturing,2.148,74.5,193132,3.35,3.02,1.739,29.29,0.496396,0.138743,0.203128,2.347
LEHN,LEM N,Electronic technology,1.522,1336.0,2009,57.26,3.74,0.405777,8.67,0.189163,0.080903,,1.594
LISN,LINDT N,Consumer non-durables,24.548,105400.0,599,2932.5,1.3299999999999998,5.276,10.42,,0.8504,,25.825
LLBN,LIECHT LANDBK N,Finance,2.262,74.0,18291,5.4,3.65,0.966743,41.39,,0.193345,,0.089364
LOGN,LOGITECH N,Electronic technology,11.263,73.4,935035,3.91,1.44,3.916,-4.46,1.62,0.602817,0.674984,9.954
LONN,LONZA N,Health technology,38.268,531.2,381507,8.14,0.75,6.717,24.18,1.948,1.313,1.934,40.109
LUKN,LUZERNER KB N,Finance,3.073,62.0,15330,5.72,4.03,1.259,52.239999999999995,,0.283126,,20.312
MOBN,MOBIMO N,Finance,1.923,265.0,24497,10.75,3.7699999999999996,0.233969,-15.53,0.164773,0.12528,0.127778,3.563
MOVE,MEDACTA GROUP N,Health technology,2.344,117.2,16930,2.31,0.47000000000000003,0.496262,26.44,0.33802,0.072843,0.129595,2.514
NEAG,NATURENERGIE N,Utilities,1.257,38.0,1310,3.36,2.37,1.941,55.53,0.105128,0.105128,0.159944,1.272
NESN,NESTLE N,Consumer non-durables,210.912,82.04,17741000,4.27,3.66,92.998,6.79,42.67,16.018,19.476,271.071
NOVN,NOVARTIS N,Health technology,196.15,99.03,5116000,6.97,3.3300000000000005,42.204,-13.14,30.934,12.193,18.55,214.77
OERL,OC OERLIKON N,Process industries,1.441,4.43,245933,-0.02,4.51,2.693,1.66,0.651,0.156,0.372,2.661
PGHN,PARTNERS GROUP N,Finance,32.189,1223.0,77429,36.7,3.19,2.171,-25.81,1.903,1.26,1.301,33.865
PSPN,PSP N,Finance,5.623,122.6,194573,6.26,3.1399999999999997,0.376375,6.660000000000001,0.333677,0.30344,0.304564,9.035
REHN,ROMANDE ENERGIE N,Utilities,1.371,48.3,6991,5.4,2.98,0.918177,50.01,0.176233,0.101812,0.191865,1.581
RO,ROCHE I,Health technology,217.538,288.6,103234,13.23,3.3300000000000005,58.716,-6.5,42.898,16.349,19.823,247.099
SCHN,SCHINDLER N,Producer manufacturing,25.366,233.0,62565,8.37,1.72,11.365,2.33,3.566,1.211,1.558,23.868
SCMN,SWISSCOM N,Communications,28.361,547.5,188611,32.8,4.02,11.028,-0.57,3.767,2.557,4.97,36.667
SDZ,SANDOZ GROUP N,Health technology,14.986,34.77,415000,,1.29,,,,,,18.351
SFSN,SFS GROUP N,Producer manufacturing,5.044,129.8,37424,6.47,1.9300000000000002,3.043,40.8,0.7666,0.3495,0.4787,5.519
SFZN,SIEGFRIED N,Health technology,4.936,1150.0,15645,29.81,0.31,1.271,15.340000000000002,0.320408,0.167082,0.248435,5.341
SGKN,ST GALLER KB N,Finance,2.46,411.0,3081,33.28,4.62,0.956891,64.32,,0.242726,,6.632
SGSN,SGS N,Commercial services,17.816,95.56,917099,2.95,3.35,6.622,3.39,2.361,0.876,1.421,20.929
SIGN,SIG GROUP N,Producer manufacturing,6.533,17.09,1371000,0.69,2.81,3.136,40.81,0.739322,0.362158,0.762554,8.922
SIKA,SIKA N,Process industries,43.147,268.9,470944,7.65,1.23,11.239,21.47,3.533,1.638,2.123,48.926
SKAN,SKAN N,Health technology,1.808,80.4,18034,1.43,0.44,0.32002,35.620000000000005,0.22817,0.03775,0.050144,1.771
SLHN,SWISS LIFE HOLDING AG N,Finance,20.07,704.0,179758,37.5,4.6899999999999995,11.876,-44.81,,3.123,,35.069
SOON,SONOVA N,Health technology,16.814,292.2,219589,10.05,1.47,3.627,7.82,2.564,0.6942,0.9404,18.115
SPSN,SWISS PRIME SITE N,Finance,7.325,94.75,347113,2.25,3.5900000000000003,0.658578,-11.59,0.498828,0.389154,0.394808,13.231
SQN,SWISSQUOTE N,Finance,4.492,303.2,42278,17.06,1.4200000000000002,0.589044,10.870000000000001,0.49288,0.26041899999999996,0.297921,-0.39731
SRAIL,STADLER RAIL N,Producer manufacturing,2.555,25.55,332806,1.23,3.52,3.608,-0.72,0.404638,0.187545,0.299428,2.687
SREN,SWISS RE N,Finance,33.609,116.3,1595000,11.18,5.34,44.413,5.6000000000000005,,4.124,,42.809
STMN,STRAUMANN N,Health technology,19.898,124.8,510816,1.7,0.6799999999999999,2.412,19.28,1.773,0.403897,0.53413,20.021
SUN,SULZER N,Producer manufacturing,4.44,131.4,58945,7.03,2.85,3.282,4.01,1.085,0.3204,0.4284,4.673
SWON,SOFTWAREONE N,Distribution services,2.427,15.7,550649,0.1,2.29,1.011,-87.21,0.26126,0.174039,0.239982,2.674
TECN,TECAN GROUP AG N,Health technology,3.455,269.4,70268,7.89,1.11,1.074,13.5,0.390466,0.12909299999999999,0.199887,3.426
TEMN,TEMENOS N,Technology services,4.184,58.1,738930,1.64,2.07,0.889327,-2.62,0.495984,0.193939,0.310754,4.697
TXGN,TX GROUP N,Consumer services,1.437,135.6,4950,3.34,1.47,0.9809,2.63,0.2689,0.0488,0.1888,1.68
UBSG,UBS GROUP N,Finance,81.605,25.46,15987000,0.16,2.5,72.042,89.05,,1.539,,208.147
UHR,SWATCH GROUP I,Consumer durables,7.806,152.2,548373,9.99,4.2700000000000005,7.888,7.86,3.771,1.191,1.581,6.431
VACN,VAT GROUP N,Producer manufacturing,11.913,397.2,188916,6.67,1.5699999999999998,0.881171,-14.76,0.295559,0.230692,0.273839,12.143
VAHN,VAUDOISE ASSU N,Finance,1.368,468.0,706,49.61,4.7,1.426,2.1,,0.069896,,1.54
VATN,VALIANT N,Finance,1.56,98.8,26152,9.39,5.57,0.8268,46.92,,0.175269,,8.415
VONN,VONTOBEL N,Finance,3.053,54.4,105079,3.81,5.510000000000001,1.7,-12.72,,0.26289999999999997,,15.666
VZN,VZ HOLDING N,Finance,5.021,127.8,54437,5.13,1.7500000000000002,0.5197480000000001,32.56,0.465102,0.218927,0.242019,3.857
WKBN,WALLISER KB N,Finance,1.792,114.0,956,5.79,3.38,0.391776,48.84,,0.108627,,5.158
YPSN,YPSOMED HLDG,Health technology,5.745,421.5,11299,5.74,0.47000000000000003,0.548457,17.990000000000002,0.189054,0.081063,0.155929,5.927
ZUGER,ZUGER KB N,Finance,2.417,8400.0,41,424.52,2.62,0.470132,84.16,,0.13665,,4.111
ZURN,ZURICH INSURANCE N,Finance,73.438,508.6,759041,29.83,5.11,33.01,-48.11,,-8.889,,87.755
