Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
ABBN,ABB LTD N,Producer manufacturing,87.895,48.04,5170000,1.82,1.81,28.737,-1.63,10.459,4.298,5.004,91.528
ACLN,ACCELLERON N,Producer manufacturing,4.065,43.36,170842,,1.96,0.821952,,0.346715,0.121961,0.14898,4.065
ADEN,ADECCO N,Commercial services,4.673,28.16,1223000,1.75,8.88,22.848,-4.56,4.563,0.572978,0.817024,7.762
AERO,AEROMONTANA N,Electronic technology,1.227,19.8,8085,-0.5,0.0,,,,,,1.466
ALC,ALCON N,Health technology,41.195,82.44,1118000,1.97,0.29,8.472,-0.07,4.722,1.258,2.337,44.536
ALLN,ALLREAL N,Finance,2.58,156.8,114804,5.34,4.46,0.4283,-22.54,0.2263,0.1748,0.177,5.338
ALSN,ALSO N,Distribution services,3.468,270.5,13034,8.83,1.77,9.673,-27.78,0.374323,0.196606,0.239944,3.082
ARYN,ARYZTA N,Retail trade,1.624,1.637,2790000,0.08,0.0,,,,,,2.404
AVOL,AVOLTA N,Retail trade,5.073,33.24,340492,0.83,2.11,12.79,226.65,3.895,0.7776,2.417,16.36
BAER,JULIUS BAER N,Finance,9.585,48.6,999142,1.82,5.35,5.824,28.59,,0.5136,,8.7
BALN,BALOISE N,Finance,7.644,169.3,280805,5.59,4.55,9.539,-5.66,,0.3812,,10.185
BANB,BACHEM N,Health technology,5.347,71.3,134265,1.51,1.1199999999999999,0.577316,14.719999999999999,0.176963,0.128562,0.165918,5.174
BARN,BARRY CALLEBAUT N,Consumer non-durables,8.364,1526.0,16675,52.23,1.9,8.933,15.17,1.347,0.647746,0.980987,11.001
BCGE,BC GENEVE N,Finance,1.805,255.0,2031,32.3,2.55,0.801344,71.07,,0.253532,,3.214
BCHN,BURCKHARDT N,Producer manufacturing,1.98,584.0,11192,26.61,2.65,0.981963,50.91,0.262063,0.115971,0.134891,2.043
BCVN,BC VAUD N,Finance,7.474,87.05,149014,5.24,4.9399999999999995,1.597,44.54,,0.5415,,12.943
BEAN,BELIMO N,Producer manufacturing,7.201,585.5,45442,12.13,1.4500000000000002,0.883955,10.91,0.251819,0.160769,0.196724,7.144
BEKN,BEKB / BCBE N,Finance,2.125,230.0,2580,,4.35,0.735035,47.83,,0.197181,,3.714
BELL,BELL FOOD GROUP N,Consumer non-durables,1.662,265.0,3933,20.44,2.64,4.514,8.73,0.5914,0.1648,0.3387,2.562
BKW,BKW N,Utilities,7.882,149.4,101616,9.49,2.2800000000000002,4.433,31.14,0.7686,0.571,0.9528,9.628
BOSN,BOSSARD N,Producer manufacturing,1.769,230.0,93217,8.71,1.7399999999999998,1.001,-7.82,0.32424,0.101531,0.127249,2.017
BUCN,BUCHER N,Producer manufacturing,3.758,367.5,30708,29.1,3.6700000000000004,3.575,12.540000000000001,0.8216,0.4244,0.5104,3.574
CFR,RICHEMONT N,Consumer durables,67.051,114.55,3611000,3.91,2.18,19.802,-3.14,13.448,4.674,6.047,64.118
CFT,CIE FIN TR I,Finance,1.235,155.0,2871,13.13,3.8699999999999997,,,,,,1.166
CLN,CLARIANT N,Process industries,3.945,11.97,1384000,0.25,3.51,4.377,0.11,1.2,0.483,0.719,5.759
CMBN,CEMBRA MONEY BANK N,Finance,2.294,78.1,90110,5.49,5.12,0.590594,15.110000000000001,,0.196173,,4.205
COPN,COSMO PHARM N,Health technology,1.305,77.5,26315,4.14,2.5100000000000002,,,,,,1.185
COTN,COMET N,Health technology,2.433,313.0,31495,2.25,0.32,0.397453,-22.63,0.162926,0.017135,0.037153,2.446
DAE,DAETWYLER I,Producer manufacturing,2.893,170.2,15315,4.31,1.8800000000000001,1.151,21.52,0.2402,0.0992,0.1794,3.402
DESN,DOTTIKON ES N,Process industries,3.617,262.0,14350,5.84,0.0,0.32627,29.509999999999998,0.108799,0.089816,0.110454,3.516
DKSH,DKSH N,Distribution services,4.189,64.5,175815,2.92,3.49,10.883,-2.95,0.7494,0.311,0.4385,4.526
DOKA,DORMAKABA N,Electronic technology,2.55,609.0,10089,9.98,1.5599999999999998,2.805,7.01,1.139,0.2177,0.3824,3.091
EFGN,EFG INTERNATIONAL N,Finance,3.525,11.3,300102,0.97,4.87,2.441,49.32,,0.3903,,1.986
EMMN,EMMI N,Consumer non-durables,4.585,857.0,2948,36.05,1.81,4.242,8.450000000000001,0.874349,0.26113600000000003,0.375822,5.021
EMSN,EMS-CHEMIE N,Process industries,15.589,666.5,21480,19.75,2.4,2.189,-2.88,,0.492551,0.542176,14.987
FHZN,FLUGHAFEN ZUERICH N,Transportation,6.207,202.2,305232,10.35,2.62,1.236,81.81,0.4538,0.4214,0.6811,7.373
GALD,GALDERMA GROUP N,Health technology,19.3,81.24,4371000,-0.05,0.0,,,,,,21.602
